YEAR,MONTH,DAY,HOUR,NO2
2018,01,13,02,37.4
2018,01,13,03,40.3
2018,01,13,04,39.7
2018,01,13,05,36.9
2018,01,13,06,39.9
2018,01,13,07,46.4
2018,01,13,08,46.6
2018,01,13,09,44.5
2018,01,13,10,38.4
2018,01,13,11,37.2
2018,01,13,12,36.3
2018,01,13,13,37.4
2018,01,13,14,44.7
2018,01,13,15,47.9
2018,01,13,16,50.4
2018,01,13,17,55.4
2018,01,13,18,40.7
2018,01,13,19,35.5
2018,01,13,20,44.7
2018,01,13,21,69.0
2018,01,13,22,50.0
2018,01,13,23,50.0
2018,01,14,00,50.0
2018,01,14,01,54.6
2018,01,14,02,48.3
2018,01,14,03,42.6
2018,01,14,04,39.5
2018,01,14,05,36.1
2018,01,14,06,40.9
2018,01,14,07,34.6
2018,01,14,08,34.6
2018,01,14,09,29.4
2018,01,14,10,20.2
2018,01,14,11,23.3
2018,01,14,12,22.9
2018,01,14,13,28.5
2018,01,14,14,22.9
2018,01,14,15,26.4
2018,01,14,16,32.3
2018,01,14,17,42.4
2018,01,14,18,42.0
2018,01,14,19,35.9
2018,01,14,20,23.1
2018,01,14,21,28.3
2018,01,14,22,39.9
2018,01,14,23,30.2
2018,01,15,00,18.3
2018,01,15,01,21.0
2018,01,15,02,20.1
2018,01,15,03,25.4
2018,01,15,04,26.9
2018,01,15,05,28.1
2018,01,15,06,28.8
2018,01,15,07,30.0
2018,01,15,08,26.2
2018,01,15,09,26.2
2018,01,15,10,28.1
2018,01,15,11,23.7
2018,01,15,12,20.6
2018,01,15,13,25.4
2018,01,15,14,30.9
2018,01,15,15,28.8
2018,01,15,16,26.4
2018,01,15,17,23.3
2018,01,15,18,21.2
2018,01,15,19,33.8
2018,01,15,20,41.4
2018,01,15,21,27.5
2018,01,15,22,23.1
2018,01,15,23,30.8
2018,01,16,00,24.3
2018,01,16,01,28.5
2018,01,16,02,39.9
2018,01,16,03,39.3
2018,01,16,04,39.7
2018,01,16,05,29.6
2018,01,16,06,28.1
2018,01,16,07,18.9
2018,01,16,08,17.0
2018,01,16,09,10.5
2018,01,16,10,25.2
2018,01,16,11,34.2
2018,01,16,12,17.4
2018,01,16,13,12.0
2018,01,16,14,23.1
2018,01,16,15,13.6
2018,01,16,16,21.2
2018,01,16,17,27.7
2018,01,16,18,25.0
2018,01,16,19,22.7
2018,01,16,20,34.0
2018,01,16,21,27.1
2018,01,16,22,34.6
2018,01,16,23,26.9
2018,01,17,00,22.5
2018,01,17,01,28.1
2018,01,17,02,17.4
2018,01,17,03,30.8
2018,01,17,04,15.7
2018,01,17,05,6.5
2018,01,17,06,7.1
2018,01,17,07,22.3
2018,01,17,08,22.5
2018,01,17,09,11.8
2018,01,17,10,22.5
2018,01,17,11,13.0
2018,01,17,12,5.2
2018,01,17,13,8.4
2018,01,17,14,14.7
2018,01,17,15,26.7
2018,01,17,16,33.2
2018,01,17,17,19.3
2018,01,17,18,27.9
2018,01,17,19,13.9
2018,01,17,20,17.4
2018,01,17,21,34.4
2018,01,17,22,30.9
2018,01,17,23,38.4
2018,01,18,00,27.3
2018,01,18,01,30.2
2018,01,18,02,18.9
2018,01,18,03,16.0
2018,01,18,04,15.3
2018,01,18,05,14.3
2018,01,18,06,16.4
2018,01,18,07,14.1
2018,01,18,08,14.5
2018,01,18,09,6.3
2018,01,18,10,4.4
2018,01,18,11,1.7
2018,01,18,12,11.7
2018,01,18,13,9.2
2018,01,18,14,13.9
2018,01,18,15,22.0
2018,01,18,16,42.2
2018,01,18,17,26.7
2018,01,18,18,27.9
2018,01,18,19,21.0
2018,01,18,20,41.3
2018,01,18,21,51.4
2018,01,18,22,25.0
2018,01,18,23,10.3
2018,01,19,00,23.9
2018,01,19,01,7.4
2018,01,19,02,5.9
2018,01,19,03,27.9
2018,01,19,04,14.1
2018,01,19,05,20.6
2018,01,19,06,23.1
2018,01,19,07,21.6
2018,01,19,08,29.8
2018,01,19,09,14.7
2018,01,19,10,16.6
2018,01,19,11,17.8
2018,01,19,12,18.0
2018,01,19,13,21.8
2018,01,19,14,20.8
2018,01,19,15,42.0
2018,01,19,16,48.7
2018,01,19,17,32.3
