YEAR,MONTH,DAY,HOUR,PM25
2018,01,16,19,3.6
2018,01,16,20,3.6
2018,01,16,21,0.9
2018,01,16,22,5.1
2018,01,16,23,8.5
2018,01,17,00,6.6
2018,01,17,01,8.2
2018,01,17,02,5.4
2018,01,17,03,5.4
2018,01,17,04,12.3
2018,01,17,05,7.8
2018,01,17,06,5.8
2018,01,17,07,6.9
2018,01,17,08,3.3
2018,01,17,09,2.2
2018,01,17,10,2.5
2018,01,17,11,2.6
2018,01,17,12,5.3
2018,01,17,13,10.1
2018,01,17,14,7.9
2018,01,17,15,6.7
2018,01,17,16,7.6
2018,01,17,17,6.3
2018,01,17,18,8.1
2018,01,17,19,10.5
2018,01,17,20,9.7
2018,01,17,21,8.2
2018,01,17,22,8.5
2018,01,17,23,8.6
2018,01,18,00,8.2
2018,01,18,01,6.4
2018,01,18,02,2.0
2018,01,18,03,-0.5
2018,01,18,04,4.4
2018,01,18,05,3.3
2018,01,18,06,2.9
2018,01,18,07,11.1
2018,01,18,08,17.4
2018,01,18,09,13.7
2018,01,18,10,12.4
2018,01,18,11,9.6
2018,01,18,12,5.8
2018,01,18,13,4.3
2018,01,18,14,6.2
2018,01,18,15,6.2
2018,01,18,16,5.8
2018,01,18,17,3.6
2018,01,18,18,1.5
2018,01,18,19,2.9
2018,01,18,20,2.4
2018,01,18,21,3.5
2018,01,18,22,4.9
2018,01,18,23,1.5
2018,01,19,00,0.8
2018,01,19,01,2.1
2018,01,19,02,2.6
2018,01,19,03,3.7
2018,01,19,04,6.4
2018,01,19,05,7.5
2018,01,19,06,5.5
2018,01,19,07,7.8
2018,01,19,08,5.1
2018,01,19,09,3.4
2018,01,19,10,3.8
2018,01,19,11,2.3
2018,01,19,12,4.3
2018,01,19,13,4.0
2018,01,19,14,3.9
2018,01,19,15,6.1
2018,01,19,16,5.5
2018,01,19,17,5.4
2018,01,19,18,6.8
2018,01,19,19,5.3
2018,01,19,20,5.7
2018,01,19,21,4.2
2018,01,19,22,4.6
2018,01,19,23,7.4
2018,01,20,00,4.8
2018,01,20,01,3.8
2018,01,20,02,5.1
2018,01,20,03,6.4
2018,01,20,04,7.0
2018,01,20,05,6.1
2018,01,20,06,9.0
2018,01,20,07,11.6
2018,01,20,08,11.3
2018,01,20,09,13.4
2018,01,20,10,13.5
2018,01,20,11,12.6
2018,01,20,12,12.6
2018,01,20,13,10.6
2018,01,20,14,7.8
2018,01,20,15,6.9
