YEAR,MONTH,DAY,HOUR,O3
2018,01,18,00,52.8
2018,01,18,01,55.3
2018,01,18,02,60.5
2018,01,18,03,62.2
2018,01,18,04,60.7
2018,01,18,05,63.1
2018,01,18,06,66.2
2018,01,18,07,69.9
2018,01,18,08,67.5
2018,01,18,09,67.6
2018,01,18,10,77.6
2018,01,18,11,81.9
2018,01,18,12,66.8
2018,01,18,13,66.1
2018,01,18,14,62.9
2018,01,18,15,52.2
2018,01,18,16,39.1
2018,01,18,17,50.0
2018,01,18,18,46.5
2018,01,18,19,56.6
2018,01,18,20,30.9
2018,01,18,21,24.2
2018,01,18,22,55.1
2018,01,18,23,64.4
2018,01,19,00,53.7
2018,01,19,01,69.6
2018,01,19,02,67.0
2018,01,19,03,49.9
2018,01,19,04,56.8
2018,01,19,05,55.2
2018,01,19,06,53.0
2018,01,19,07,53.0
2018,01,19,08,48.0
2018,01,19,09,62.6
2018,01,19,10,62.1
2018,01,19,11,60.9
2018,01,19,12,64.7
2018,01,19,13,63.4
2018,01,19,14,63.6
2018,01,19,15,46.7
2018,01,19,16,43.3
2018,01,19,17,50.7
2018,01,19,18,50.3
2018,01,19,19,58.3
2018,01,19,20,53.7
2018,01,19,21,58.1
2018,01,19,22,44.8
2018,01,19,23,40.8
2018,01,20,00,55.9
2018,01,20,01,57.4
2018,01,20,02,45.8
2018,01,20,03,42.1
2018,01,20,04,30.7
2018,01,20,05,45.6
2018,01,20,06,37.7
2018,01,20,07,34.2
2018,01,20,08,33.3
2018,01,20,09,15.2
2018,01,20,10,35.2
2018,01,20,11,34.9
2018,01,20,12,33.1
2018,01,20,13,51.0
2018,01,20,14,42.0
2018,01,20,15,44.6
2018,01,20,16,29.6
2018,01,20,17,31.2
2018,01,20,18,3.7
2018,01,20,19,24.9
2018,01,20,20,76.2
2018,01,20,21,75.1
2018,01,20,22,72.8
2018,01,20,23,68.6
2018,01,21,00,68.9
2018,01,21,01,75.6
2018,01,21,02,78.2
2018,01,21,03,78.8
2018,01,21,04,79.3
2018,01,21,05,79.8
2018,01,21,06,79.3
2018,01,21,07,76.6
2018,01,21,08,77.8
2018,01,21,09,72.8
2018,01,21,10,70.0
2018,01,21,11,39.9
2018,01,21,12,49.5
2018,01,21,13,51.3
2018,01,21,14,61.3
2018,01,21,15,47.6
2018,01,21,16,38.8
2018,01,21,17,19.8
2018,01,21,18,23.0
2018,01,21,19,19.4
2018,01,21,20,34.4
2018,01,21,21,37.4
2018,01,21,22,35.8
2018,01,21,23,41.9
2018,01,22,00,40.7
2018,01,22,01,45.1
2018,01,22,02,40.3
2018,01,22,03,40.6
2018,01,22,04,20.1
2018,01,22,05,27.7
2018,01,22,06,34.1
2018,01,22,07,50.2
2018,01,22,08,45.0
2018,01,22,09,40.1
2018,01,22,10,32.4
2018,01,22,11,35.8
2018,01,22,12,40.7
2018,01,22,13,40.6
